iter	Passed	Remaining
0	0	475
1	0	443
2	1	427
3	1	404
4	1	381
5	2	367
6	2	367
7	3	455
8	4	441
9	4	440
10	4	428
11	5	427
12	5	414
13	5	403
14	6	402
15	6	402
16	6	402
17	7	398
18	7	392
19	7	385
20	8	381
21	8	376
22	8	372
23	9	367
24	9	364
25	9	361
26	10	360
27	10	356
28	10	352
29	10	351
30	11	351
31	11	349
32	11	347
33	12	347
34	12	348
35	12	345
36	13	343
37	13	341
38	13	339
39	14	340
40	14	339
41	14	337
42	15	335
43	15	333
44	15	331
45	16	332
46	16	334
47	16	332
48	17	333
49	17	331
50	17	330
51	18	331
52	18	329
53	18	328
54	19	326
55	19	326
56	19	325
57	19	324
58	20	323
59	20	322
60	20	321
61	21	320
62	21	319
63	21	319
64	22	319
65	22	317
66	22	317
67	23	318
68	23	318
69	24	321
70	24	321
71	24	321
72	25	320
73	25	318
74	25	317
75	26	316
76	26	315
77	26	314
78	26	313
79	27	312
80	27	311
81	27	310
82	27	307
83	28	307
84	28	306
85	28	305
86	29	304
87	29	303
88	29	303
89	29	302
90	30	301
91	30	300
92	30	300
93	31	299
94	31	298
95	31	297
96	31	296
97	32	295
98	32	294
99	32	293
100	32	293
101	33	292
102	33	291
103	33	290
104	34	290
105	34	289
106	34	288
107	34	288
108	35	287
109	35	287
110	35	286
111	36	288
112	36	289
113	37	289
114	37	289
115	37	288
116	38	287
117	38	287
118	38	286
119	39	286
120	39	286
121	39	285
122	40	285
123	40	284
124	40	284
125	40	283
126	41	282
127	41	281
128	41	281
129	41	281
130	42	280
131	42	279
132	42	279
133	43	278
134	43	278
135	43	277
136	44	277
137	44	276
138	44	276
139	44	275
140	45	275
141	45	273
142	45	273
143	45	273
144	46	272
145	46	272
146	46	272
147	47	271
148	47	270
149	47	270
150	47	269
151	48	269
152	48	269
153	48	268
154	49	268
155	49	268
156	49	268
157	50	267
158	50	267
159	50	267
160	51	266
161	51	265
162	51	265
163	52	265
164	52	264
165	52	264
166	52	263
167	53	263
168	53	263
169	53	262
170	54	262
171	54	261
172	54	261
173	55	261
174	55	260
175	55	260
176	55	259
177	56	259
178	56	259
179	56	259
180	57	259
181	57	259
182	57	258
183	58	258
184	58	257
185	58	257
186	59	256
187	59	256
188	59	255
189	59	255
190	60	254
191	60	254
192	60	253
193	61	254
194	61	254
195	62	254
196	62	254
197	62	254
198	62	253
199	63	253
200	63	252
201	63	252
202	64	252
203	64	252
204	65	252
205	65	253
206	66	252
207	66	252
208	66	252
209	67	252
210	67	252
211	67	252
212	68	251
213	68	251
214	68	250
215	69	250
216	69	250
217	69	249
218	69	249
219	70	248
220	70	248
